id,date,city,lat,long,pop,shop,brand,container,capacity,price,quantity
1222,28/02/13,Athens,37.96245,23.68708,671022,shop_3,adult-cola,plastic,1.5lt,2.46,10709
1256,28/02/13,Athens,37.97945,23.71622,671022,shop_1,adult-cola,plastic,1.5lt,1.91,12703
2325,28/02/14,Athens,37.97945,23.71622,668203,shop_1,adult-cola,plastic,1.5lt,3.99,3642
2333,28/02/14,Athens,37.96245,23.68708,668203,shop_3,adult-cola,plastic,1.5lt,2.82,9282
3334,28/02/15,Athens,37.97945,23.71622,667237,shop_1,adult-cola,plastic,1.5lt,1.29,15782
3414,28/02/15,Athens,37.96245,23.68708,667237,shop_3,adult-cola,plastic,1.5lt,1.72,14576
5568,28/02/17,Athens,37.97945,23.71622,665871,shop_1,adult-cola,plastic,1.5lt,1.46,15298
5572,28/02/17,Athens,37.96245,23.68708,665871,shop_3,adult-cola,plastic,1.5lt,3.49,7114
6574,28/02/18,Athens,37.97945,23.71622,664046,shop_1,adult-cola,plastic,1.5lt,2.58,10837
6624,28/02/18,Athens,37.96245,23.68708,664046,shop_3,adult-cola,plastic,1.5lt,1.28,16897
161,29/02/12,Athens,37.97945,23.71622,672130,shop_1,adult-cola,plastic,1.5lt,2.67,8954
174,29/02/12,Athens,37.96245,23.68708,672130,shop_3,adult-cola,plastic,1.5lt,3.23,6687
4412,29/02/16,Athens,37.97945,23.71622,665102,shop_1,adult-cola,plastic,1.5lt,3.6,6038
4461,29/02/16,Athens,37.96245,23.68708,665102,shop_3,adult-cola,plastic,1.5lt,2.45,11472
273,30/04/12,Athens,37.97945,23.71622,672130,shop_1,adult-cola,plastic,1.5lt,2.24,18652
351,30/04/12,Athens,37.96245,23.68708,672130,shop_3,adult-cola,plastic,1.5lt,2.96,10210
1353,30/04/13,Athens,37.97945,23.71622,671022,shop_1,adult-cola,plastic,1.5lt,2.94,13601
1403,30/04/13,Athens,37.96245,23.68708,671022,shop_3,adult-cola,plastic,1.5lt,0.86,23479
2434,30/04/14,Athens,37.97945,23.71622,668203,shop_1,adult-cola,plastic,1.5lt,2.84,14858
2489,30/04/14,Athens,37.96245,23.68708,668203,shop_3,adult-cola,plastic,1.5lt,1.81,17887
3514,30/04/15,Athens,37.97945,23.71622,667237,shop_1,adult-cola,plastic,1.5lt,0.92,29558
3558,30/04/15,Athens,37.96245,23.68708,667237,shop_3,adult-cola,plastic,1.5lt,2.61,13434
4669,30/04/16,Athens,37.96245,23.68708,665102,shop_3,adult-cola,plastic,1.5lt,3.53,8478
4670,30/04/16,Athens,37.97945,23.71622,665102,shop_1,adult-cola,plastic,1.5lt,2.75,16408
5673,30/04/17,Athens,37.97945,23.71622,665871,shop_1,adult-cola,plastic,1.5lt,2.87,15964
5722,30/04/17,Athens,37.96245,23.68708,665871,shop_3,adult-cola,plastic,1.5lt,2.37,15423
6753,30/04/18,Athens,37.97945,23.71622,664046,shop_1,adult-cola,plastic,1.5lt,3,15438
6803,30/04/18,Athens,37.96245,23.68708,664046,shop_3,adult-cola,plastic,1.5lt,3.52,9379
501,30/06/12,Athens,37.96245,23.68708,672130,shop_3,adult-cola,plastic,1.5lt,2.35,22374
527,30/06/12,Athens,37.97945,23.71622,672130,shop_1,adult-cola,plastic,1.5lt,1.5,29408
1533,30/06/13,Athens,37.97945,23.71622,671022,shop_1,adult-cola,plastic,1.5lt,3.12,14733
1580,30/06/13,Athens,37.96245,23.68708,671022,shop_3,adult-cola,plastic,1.5lt,2.49,21553
2614,30/06/14,Athens,37.97945,23.71622,668203,shop_1,adult-cola,plastic,1.5lt,3.67,10305
2667,30/06/14,Athens,37.96245,23.68708,668203,shop_3,adult-cola,plastic,1.5lt,0.94,36735
3694,30/06/15,Athens,37.97945,23.71622,667237,shop_1,adult-cola,plastic,1.5lt,2.28,23339
3765,30/06/15,Athens,37.96245,23.68708,667237,shop_3,adult-cola,plastic,1.5lt,4.04,8068
4774,30/06/16,Athens,37.97945,23.71622,665102,shop_1,adult-cola,plastic,1.5lt,3.27,15162
4820,30/06/16,Athens,37.96245,23.68708,665102,shop_3,adult-cola,plastic,1.5lt,2.14,26190
5854,30/06/17,Athens,37.97945,23.71622,665871,shop_1,adult-cola,plastic,1.5lt,1.94,27076
5895,30/06/17,Athens,37.96245,23.68708,665871,shop_3,adult-cola,plastic,1.5lt,3,18916
6934,30/06/18,Athens,37.97945,23.71622,664046,shop_1,adult-cola,plastic,1.5lt,1.7,29429
6981,30/06/18,Athens,37.96245,23.68708,664046,shop_3,adult-cola,plastic,1.5lt,2.63,22668
775,30/09/12,Athens,37.96245,23.68708,672130,shop_3,adult-cola,plastic,1.5lt,3.34,7419
809,30/09/12,Athens,37.97945,23.71622,672130,shop_1,adult-cola,plastic,1.5lt,2.44,15878
1804,30/09/13,Athens,37.97945,23.71622,671022,shop_1,adult-cola,plastic,1.5lt,2.39,16640
1856,30/09/13,Athens,37.96245,23.68708,671022,shop_3,adult-cola,plastic,1.5lt,2.11,14915
2883,30/09/14,Athens,37.97945,23.71622,668203,shop_1,adult-cola,plastic,1.5lt,2.19,18406
2961,30/09/14,Athens,37.96245,23.68708,668203,shop_3,adult-cola,plastic,1.5lt,2.4,13524
3962,30/09/15,Athens,37.97945,23.71622,667237,shop_1,adult-cola,plastic,1.5lt,2.21,18568
4014,30/09/15,Athens,37.96245,23.68708,667237,shop_3,adult-cola,plastic,1.5lt,1.98,16153
